url,name,description,dynasty
https://www.chinasilkmuseum.com/zggd/info_21.aspx?itemid=2371,唐绿地团窠联珠对山羊纹锦,"尺寸：20*28.5（厘米）
时代：唐
质地：丝
描述：
唐代绿地团窠联珠对山羊纹锦，正面为平纹显花。
反面为黄色平纹面料
正面绘有两个团窠山羊纹样。",SuiTang
https://www.chinasilkmuseum.com/zggd/info_21.aspx?itemid=2367,唐代团窠联珠对狮纹锦,"尺寸：38.7*30（厘米）
时代：唐
质地：丝
描述：
此件文物为唐代团窠联珠对狮纹锦残片，基本以黄、褐色调为主，古朴清新。
残片整体采用对称原则织就，联珠团窠纹左右一边，中央同样是对称的的雄狮，头蹄相对。团窠纹四周织有跳跃的雄狮。",SuiTang
https://www.chinasilkmuseum.com/zggd/info_21.aspx?itemid=2373,唐代团窠联珠对孔雀纹锦,"尺寸：15.2*12.5（厘米）
时代：唐
质地：丝
描述：
此件文物为唐代团窠联珠对孔雀纹锦残片，基本以蓝、褐色调为主，造型清新。
残片右幅的纹样采用大圆状的联珠团窠，中央以造型俏丽的一双孔雀为主。左幅以一双鸟类为对称，深蓝色为背景。",SuiTang
https://www.chinasilkmuseum.com/zggd/info_21.aspx?itemid=2366,唐黄地团窠联珠对马纹锦,"尺寸：388*8（厘米）
时代：唐
质地：丝
描述：
此件文物为唐黄地团窠联珠对马纹锦残片，基本以黄、红色调为主，古朴典雅。
残片整体由于破损的历史原因，呈长带状，从残余的纹样种可以知晓文物整体纹样以联珠团窠为主，中央以对称的原则织就动物类，具有明显的唐朝古风。",SuiTang
https://www.chinasilkmuseum.com/zggd/info_21.aspx?itemid=2364,唐蓝绿色地团窠联珠对格力芬纹锦,"尺寸：94*8（厘米）
时代：唐
质地：丝
描述：
此件文物为唐蓝绿色地团窠联珠对格力芬纹锦残片，基本以蓝、绿为主要色调，文物较为破损，现基本呈长带状。
残余的纹样中显现联珠团窠，中央是采用对称原则织就的动物类图案，整体古朴典雅，显现出一番古唐遗风。",SuiTang
https://www.chinasilkmuseum.com/zggd/info_21.aspx?itemid=2368,唐团窠对羊纹锦,"时代　　唐
数量　　一件
质地　　丝
色泽　　黄、绿等色
尺寸(厘米)　　长： 36.5 宽:36
形状内容描述　　该织物方形，由两块三角形拼接而成，可见明显的拼接痕迹。所织纹样为团窠对羊纹锦。团窠又作团科，是丝绸图案中常见的一种排列方式，在唐代尤其盛行。唐代各地贡绫中有独窠、两窠、四窠、大窠等名，出土丝绸实物中也常见到圆形团窠的图案。而对羊这种纹样形式也是很常见的。在魏晋南北朝时期就已有出现，包括对龙、对马、对孔雀等。这种花环团窠与动物纹样的结合很可能就是唐代盛行的陵阳公样的模式。",SuiTang
https://www.chinasilkmuseum.com/zggd/info_21.aspx?itemid=2370,唐代联珠兽纹锦,"时代　　唐代
数量　　1件
质地　　丝
色泽　　浅绿、浅黄
尺寸(厘米)　　长：16  宽:8
形状内容描述　　此为唐代袍服上的衣襟残片，上缝有明显的白色针线。织物组织为斜纹纬锦，以浅绿色为地部，以诸红、浅黄色纹纬显示花部，图案为不完整的联珠团窠，联珠由方格和三角形锯齿形组成，内置有一个异兽，红眼绿珠，两足前蹬，口吐红舌，尾巴上翘。这种联珠动物纹反映了当时中西文化交流盛况。",SuiTang
https://www.chinasilkmuseum.com/zggd/info_21.aspx?itemid=2365,唐代大窠宝花纹绫,"时代　　唐代
数量　　1件
质地　　丝
色泽　　黄色
尺寸(厘米)　　长：38.8 宽:23
形状内容描述　　所谓绫织物，即斜纹地暗花织物。绫之名在魏晋时期开始多起来，而真正进入全盛时期是在唐代，各地贡丝织品中绫占了很大比重，名类之多令人惊叹。唐代大诗人白居易有一首《缭绫》诗对当时绫的表观效果以及生产工艺作了恰如其分的描述：""缭绫缭绫何所似，不似罗绡与纨绮，......异彩奇文相隐映，转侧看花花不定。"" 可见绫是一种通过不同组织对比显示花地的单层暗花织物。该绫织物的纹样为花卉纹。",SuiTang
https://www.chinasilkmuseum.com/zggd/info_21.aspx?itemid=2361,唐花鸟纹锦,"时代　　唐
数量　  1 件
质地　  丝
色泽　　黄
尺寸(厘米)　　长 : 45 宽：23
形状内容描述　　此为一块唐代纬锦的残片，呈长方形，由四小块织锦拼缝成一完整的图案。以黄色做地，其上以蓝、绿、米白等各色丝线显花。为大型宝花纹样，呈二二错排，有飞鸟、云纹点缀其间。",SuiTang
https://www.chinasilkmuseum.com/zggd/info_21.aspx?itemid=2363,唐对鸟纹锦,"时代　　唐
数量　  1 件
质地　  丝
色泽　　褐色
尺寸(厘米)　　长 : 60 宽：23
形状内容描述　　此为一块唐代织锦残片，虽较为残破，但依旧可以看到清晰的图案，为一棵枝叶茂盛的大树下左右两旁各立有二对鸟，形态栩栩如生。",SuiTang
https://www.chinasilkmuseum.com/zggd/info_21.aspx?itemid=2362,唐联珠对孔雀纹锦,"时代　　唐
数量　　1 件
质地　  丝
色泽　　暗红色
尺寸(厘米)　　长 : 47 宽：14
形状内容描述　　此为一块狭长形的纬锦织物，为1:2斜纹纬重组织，暗红色地，蓝、白等色显花，以联珠纹做骨架，内填对孔雀纹样。",SuiTang
